date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2026-03-17,170899,7015,77348,1,13,48115,7600,1040
2026-03-24,170899,7015,77348,1,13,48115,7600,1040
2026-03-31,170899,7015,77348,1,13,48115,7600,1040
2026-04-07,170899,7015,77348,1,13,48115,7600,1040
2026-04-21,172187,7032,76185,1,13,48143,7590,1040
2026-04-28,172521,7033,75865,1,13,48144,7588,1040
2026-05-05,172541,7036,75840,1,13,48148,7583,1040
2026-05-12,172736,7036,75658,1,13,48148,7583,1040
2026-05-19,172969,7037,75466,1,13,48149,7582,1040
2026-05-26,172975,7032,75464,1,13,48156,7582,1040
2026-06-02,172975,7032,75464,1,13,48156,7582,1040
2026-06-09,172975,7032,75464,1,13,48156,7582,1040
2026-06-16,173550,7033,74923,1,13,48155,7581,1040
2026-06-23,174175,7028,74338,1,13,48167,7579,1040
2026-06-30,174177,7028,74336,1,13,48167,7579,1040
2026-07-07,174618,7029,73918,1,13,48166,7574,1040
2026-07-14,174640,7029,73917,1,13,48160,7561,1040
2026-07-21,174670,7026,73891,1,13,48173,7561,1040
2026-07-28,174670,7026,73891,1,13,48173,7561,1040
2026-08-04,174670,7026,73891,1,13,48173,7561,1040
2026-08-11,174670,7026,73891,1,13,48173,7561,1040
2026-08-18,174670,7026,73891,1,13,48173,7561,1040
2026-08-25,174670,7026,73891,1,13,48173,7561,1040
2026-09-01,174677,7027,73886,1,13,48173,7560,1040
