date,FTTP,SATELLITE,FTTN,FTTC,HFC,WIRELESS,NULL,FTTB
2026-03-03,67055,3604,10052,3,35,4987,6645,1953
2026-03-10,67055,3604,10052,3,35,4987,6645,1953
2026-03-17,67055,3604,10052,3,35,4987,6645,1953
2026-03-24,67055,3604,10052,3,35,4987,6645,1953
2026-03-31,67055,3604,10052,3,35,4987,6645,1953
2026-04-07,67055,3604,10052,3,35,4987,6645,1953
2026-04-21,67155,3604,9949,3,35,4987,7480,1087
2026-04-28,67171,3604,9933,3,35,4987,6614,1953
2026-05-05,67171,3604,9933,3,35,4987,6614,1953
2026-05-12,67171,3604,9932,3,35,4986,6614,1952
2026-05-19,67204,3604,9888,3,35,4986,6614,1952
2026-05-26,67204,3604,9888,3,35,4986,6614,1952
2026-06-02,67204,3604,9888,3,35,4986,6614,1952
2026-06-09,67204,3604,9888,3,35,4986,6614,1952
2026-06-16,67207,3605,9885,3,35,4987,6610,1952
2026-06-23,67306,3605,9781,3,35,4987,6610,1952
2026-06-30,67306,3605,9781,3,35,4987,6610,1952
2026-07-07,67340,3605,9747,3,35,4987,6581,1952
2026-07-14,67340,3605,9747,3,35,4987,6581,1952
2026-07-21,67340,3605,9747,3,35,4987,6581,1952
2026-07-28,67340,3605,9747,3,35,4987,6581,1952
2026-08-04,67340,3605,9747,3,35,4987,6581,1952
2026-08-11,67340,3605,9747,3,35,4987,6581,1952
2026-08-18,67340,3605,9747,3,35,4987,6581,1952
2026-08-25,67340,3605,9747,3,35,4987,6581,1952
2026-09-01,67340,3634,9747,3,35,4987,6552,1952
